"zpid","price","yrbuilt","numbeds","numbaths","housesqft","lotsqft","straddr","lon","lat"
"85453095",175500,1996,4,3,2200,13068,"801 Lionshead Ln Greenwood IN 46143",-86.17355,39.604723
"2103744591",269900,2015,3,2,1810,15681.6,"537 Weyworth Pl Greenwood IN 46142",-86.137258,39.609606
"85465778",109900,2001,3,3,1325,4356,"2391 Providence Ct Greenwood IN 46143",-86.105199,39.581743
"2100551520",235000,2015,4,3,2817,10454,"1641 Windborne Ln Greenwood IN 46143",-86.1466697,39.5939223
"85444228",135000,2002,2,2,1173,4791,"1112 Lincoln Park East Dr Greenwood IN 46142",-86.164484,39.632621
"2100587200",375000,2013,4,2.5,4074,15246,"Brentford Ln Greenwood IN 46143",-86.1445311,39.5828268
"85442093",10,1800,2,1,1114,7840,"627 Forest Ave Greenwood IN 46143",-86.096438,39.612688
"85439013",79900,1960,3,1,960,7840,"611 Park Dr Greenwood IN 46143",-86.101766,39.626112
"85448555",139900,1977,3,3,1819,27442.8,"59 Idleway Ct Greenwood IN 46142",-86.166112,39.610239
"85463712",110000,1996,3,2,1309,4487,"1310 Kenwood Dr Greenwood IN 46143",-86.1102626,39.5983019
"85462889",105000,2001,3,2,1105,6272,"1406 Osprey Way Greenwood IN 46143",-86.087452,39.596628
"85461720",174900,2001,3,3,2304,9496,"1363 Butternut Ln Greenwood IN 46143",-86.081075,39.596984
"85453784",184900,1999,3,3,2159,9147,"1296 White Ash Dr Greenwood IN 46143",-86.167847,39.597823
"85443594",164900,1994,3,2,1444,5662,"1630 Foxmere Way Greenwood IN 46142",-86.155475,39.624661
"97329217",135000,2007,3,3,1548,5837,"1495 Pencross Ln Greenwood IN 46143",-86.08436,39.595944
"85462881",114900,2002,3,2,1288,5314,"1502 Osprey Way Greenwood IN 46143",-86.08744,39.595519
"85442691",104900,1960,3,2,1120,12196.8,"705 Sunset Blvd Greenwood IN 46142",-86.123887,39.625434
"85456431",150000,2005,4,3,2244,10454,"1009 Boxwood Ln Greenwood IN 46143",-86.080937,39.590929
"85465823",113000,2000,3,2.5,1507,4486,"2349 Harvest Moon Dr Greenwood IN 46143",-86.104376,39.582168
"85443260",95000,1935,2,2,1144,32670,"1354 Fry Rd Greenwood IN 46142",-86.144398,39.628166
"85438343",89900,1986,3,2,1068,9147,"1081 Laura Dr Greenwood IN 46143",-86.104802,39.6334019
"85440378",149900,1960,4,2,2628,20473.2,"630 Averitt Rd Greenwood IN 46142",-86.120811,39.606452
"85444318",144900,2003,2,2,1252,6534,"906 Lincoln Park West Dr Greenwood IN 46142",-86.165452,39.630798
"2111293141",149900,2015,2,2,1294,9844,"3890 Kristi Way Greenwood IN 46142",-86.174858,39.630597
"85464694",129900,2000,3,2,1275,9408,"2520 Longleaf Dr Greenwood IN 46143",-86.12179,39.581876
